	Class	Compound	M8: GMM+LAB plus Mucin	M2: LAB	M3: GMM+LAB	price	volume/mass (ml/g)	price per unit	Catalog ID	link	Notes
42	Salts & Minerals	AlK(SO4)2 (anhydrous)	0.1 mg	0	0.1 mg	$44.30 	100	$0.44 	237086-100G	https://www.sigmaaldrich.com/catalog/product/sigald/237086?lang=en&region=US	
43	Salts & Minerals	Na2SeO3 (anhydrous)	10 µg	0	10 µg	$30.80 	10	$3.08 	S5261-10G	https://www.sigmaaldrich.com/catalog/product/sigma/s5261?lang=en&region=US	
44	Salts & Minerals	Na2WO4 . 2H2O	0.1 mg	0	0.1 mg	$45.10 	25	$1.80 	72069-25G	https://www.sigmaaldrich.com/catalog/product/sigma/72069?lang=en&region=US	
45	Salts & Minerals	NiCl2 . 6H2O	0.2 mg	0	0.2 mg	$108.00 	500	$0.22 	223387-500G	https://www.sigmaaldrich.com/catalog/product/sigald/223387?lang=en&region=US	
46	Salts & Minerals	CaCl2 (anhydrous)	30.2 mg	30.2 mg	30.2 mg	$55.40 	100	$0.55 	C4901-100G	https://www.sigmaaldrich.com/catalog/product/sigald/c4901?lang=en&region=US	
47	Salts & Minerals	CoCl2·6H2O	0.19 mg	0.19 mg	0.19 mg	$73.20 	100	$0.73 	255599-100G	https://www.sigmaaldrich.com/catalog/product/sigald/255599?lang=en&region=US	
48	Salts & Minerals	CuSO4 (anhydrous)	0.12 mg	0.12 mg	0.12 mg	$55.90 	250	$0.22 	12852-250G-R	https://www.sigmaaldrich.com/catalog/product/sigald/12852?lang=en&region=US	
49	Salts & Minerals	H3BO3	0.75 mg	0.75 mg	0.75 mg	$32.60 	100	$0.33 	B0394-100G	https://www.sigmaaldrich.com/catalog/product/sigald/b0394?lang=en&region=US	
50	Salts & Minerals	KI	0.11 mg	0.11 mg	0.11 mg	$53.90 	100	$0.54 	793582-100G	https://www.sigmaaldrich.com/catalog/product/sigald/793582?lang=en&region=US	
51	Salts & Minerals	MnSO4 * H2O	5 mg	0.11 mg	5 mg	$36.60 	100	$0.37 	M7634-100G	https://www.sigmaaldrich.com/catalog/product/sigald/m7634?lang=en&region=US	
52	Salts & Minerals	(NH4)6Mo7O24·4H2O	0.19 mg	0.19 mg	0.19 mg	$46.60 	25	$1.86 	09878-25G	https://www.sigmaaldrich.com/catalog/product/sigma/09878?lang=en&region=US	
53	Salts & Minerals	K2SO4	23 mg	23 mg	23 mg	$55.90 	250	$0.22 	P0772-250G	https://www.sigmaaldrich.com/catalog/product/sigald/p0772?lang=en&region=US	
54	Salts & Minerals	NaCl	0.81 g	3 g	3.01 g	$53.90 	1000	$0.05 	S9625-1KG	https://www.sigmaaldrich.com/catalog/product/sigald/s9625?lang=en&region=US	
55	Salts & Minerals	Ammonium citrate dibasic	1.7 g	1.7 g	1.7 g	$49.30 	500	$0.10 	25102-500G-R	https://www.sigmaaldrich.com/catalog/product/sial/25102?lang=en&region=US	
56	Salts & Minerals	FeCl3	3 mg	3 mg	3 mg	$41.30 	100	$0.41 	157740-100G	https://www.sigmaaldrich.com/catalog/product/sigald/157740?lang=en&region=US	
57	Salts & Minerals	MgSO4 * 7 H2O	30 mg	0	30 mg	$88.40 	500	$0.18 	M2643-500G	https://www.sigmaaldrich.com/catalog/product/sigma/m2643?lang=en&region=US	
58	Salts & Minerals	NaHCO3	0.4 g	0	0.4 g	$55.40 	1000	$0.06 	S8875-1KG	https://www.sigmaaldrich.com/catalog/product/sigald/s8875?lang=en&region=US	
62	Salts & Minerals	Na2MoO4 . 2H2O	0.1 mg	0	0.1 mg	$78.20 	100	$0.78 	243655-100G	https://www.sigmaaldrich.com/catalog/product/sigald/243655?lang=en&region=US	
68	Vitamins & Antioxidants	myo-Inositol	2 mg	2 mg	2 mg	$43.00 	50	$0.86 	I5125-50G	https://www.sigmaaldrich.com/catalog/product/sigma/i5125?lang=en&region=US	
69	Vitamins & Antioxidants	L-Glutathione reduced	15 mg	15 mg	15 mg	$76.00 	10	$7.60 	G4251-10G	https://www.sigmaaldrich.com/catalog/product/sial/g4251?lang=en&region=US	
70	Vitamins & Antioxidants	Biotin	6.02 mg	6 mg	6.02 mg	$70.20 	1	$70.20 	B4501-1G	https://www.sigmaaldrich.com/catalog/product/sial/b4501?lang=en&region=US	
71	Vitamins & Antioxidants	Thiamine HCl	0.56 mg	0.56 mg	0.56 mg	$117.51 	100	$1.18 	MK272257	https://us.vwr.com/store/product/4563219/thiamine-hydrochloride-98-usp-macron-fine-chemicalstm	
72	Vitamins & Antioxidants	Riboflavin	0.9 mg	0.9 mg	0.9 mg	$28.90 	25	$1.16 	R9504-25G	https://www.sigmaaldrich.com/catalog/product/sigma/r9504?lang=en&region=US	
73	Vitamins & Antioxidants	Ascorbic acid	0.5 g	0.5 g	0.5 g	$68.10 	100	$0.68 	795437-100G	https://www.sigmaaldrich.com/catalog/product/sial/795437?lang=en&region=US	
74	Vitamins & Antioxidants	Pyridoxamine . 2 HCl	5 mg	5 mg	5 mg	$95.70 	1	$95.70 	P9158-1G	https://www.sigmaaldrich.com/catalog/product/sigma/p9158?lang=en&region=US	
75	Vitamins & Antioxidants	Niacin	0.9 mg	0.9 mg	0.9 mg	$29.70 	100	$0.30 	N0761-100G	https://www.sigmaaldrich.com/catalog/product/sigma/n0761?lang=en&region=US	
