desgination in screen,PATRIC genome ID,Taxonomy
Eggerthella sp. BIOML-A1,2584638.3,SAMN11945348
Eggerthella sp. BIOML-A3,2584640.3,SAMN11945350
Eggerthella sp. BIOML-A4,2584641.3,SAMN11945351
Eggerthella sp. BIOML-A5,2584642.3,SAMN11945352
Enterobacter hormaechei,158836.476,SAMN11945353
Enterobacter hormaechei,158836.475,SAMN11945354
Enterobacter hormaechei,158836.474,SAMN11945355
Enterobacter hormaechei,158836.472,SAMN11945356
Enterobacter hormaechei,158836.473,SAMN11945357
Enterococcus avium,33945.51,SAMN11945359
Enterococcus avium,33945.50,SAMN11945358
Enterococcus avium,33945.49,SAMN11945360
Enterococcus avium,33945.48,SAMN11945361
Enterococcus durans,53345.124,SAMN11945362
Enterococcus durans,53345.125,SAMN11945363
Enterococcus durans,53345.123,SAMN11945364
Enterococcus durans,53345.122,SAMN11945366
Enterococcus durans,53345.121,SAMN11945365
Enterococcus durans,53345.120,SAMN11945368
Enterococcus durans,53345.119,SAMN11945367
Enterococcus durans,53345.118,SAMN11945369
Enterococcus durans,53345.117,SAMN11945370
Enterococcus durans,53345.116,SAMN11945373
Enterococcus durans,53345.114,SAMN11945372
Enterococcus durans,53345.115,SAMN11945371
Enterococcus durans,53345.113,SAMN11945374
Enterococcus durans,53345.112,SAMN11945376
Enterococcus durans,53345.111,SAMN11945375
Enterococcus durans,53345.109,SAMN11945377
Enterococcus durans,53345.108,SAMN11945380
Enterococcus durans,53345.110,SAMN11945378
Enterococcus durans,53345.107,SAMN11945379
Enterococcus durans,53345.106,SAMN11945381
Enterococcus durans,53345.105,SAMN11945382
Enterococcus durans,53345.104,SAMN11945383
Enterococcus durans,53345.103,SAMN11945390
Enterococcus durans,53345.102,SAMN11945384
Enterococcus durans,53345.101,SAMN11945385
Enterococcus durans,53345.100,SAMN11945395
Enterococcus durans,53345.98,SAMN11945394
Enterococcus durans,53345.99,SAMN11945398
Enterococcus durans,53345.96,SAMN11945399
Enterococcus durans,53345.97,SAMN11945403
Enterococcus durans,53345.95,SAMN11945386
Enterococcus durans,53345.88,SAMN11945400
Enterococcus durans,53345.94,SAMN11945387
Enterococcus durans,53345.93,SAMN11945389
Enterococcus durans,53345.92,SAMN11945391
Enterococcus durans,53345.91,SAMN11945388
Enterococcus durans,53345.90,SAMN11945392
Enterococcus durans,53345.89,SAMN11945393
Enterococcus durans,53345.87,SAMN11945396
Enterococcus durans,53345.128,SAMN11945404
Enterococcus durans,53345.127,SAMN11945405
Enterococcus durans,53345.126,SAMN11945408
Enterococcus durans,53345.131,SAMN11945433
Enterococcus durans,53345.129,SAMN11945436
Enterococcus durans,53345.155,SAMN11945406
Enterococcus durans,53345.154,SAMN11945407
Enterococcus durans,53345.153,SAMN11945411
Enterococcus durans,53345.152,SAMN11945410
Enterococcus durans,53345.151,SAMN11945413
Enterococcus durans,53345.150,SAMN11945412
Enterococcus durans,53345.148,SAMN11945415
Enterococcus durans,53345.149,SAMN11945416
Enterococcus durans,53345.147,SAMN11945419
Enterococcus durans,53345.146,SAMN11945417
Enterococcus durans,53345.145,SAMN11945418
Enterococcus durans,53345.143,SAMN11945420
Enterococcus durans,53345.144,SAMN11945421
Enterococcus durans,53345.142,SAMN11945423
Enterococcus durans,53345.141,SAMN11945422
Enterococcus durans,53345.140,SAMN11945425
Enterococcus durans,53345.139,SAMN11945424
Enterococcus durans,53345.138,SAMN11945426
Enterococcus durans,53345.137,SAMN11945429
Enterococcus durans,53345.136,SAMN11945428
Enterococcus durans,53345.135,SAMN11945427
Enterococcus durans,53345.134,SAMN11945430
Enterococcus durans,53345.132,SAMN11945431
Enterococcus durans,53345.130,SAMN11945434
Enterococcus durans,53345.133,SAMN11945432
Enterococcus faecalis,1351.3488,SAMN11945437
Enterococcus faecalis,1351.3489,SAMN11945438
Enterococcus faecalis,1351.3487,SAMN11945439
Enterococcus faecalis,1351.3486,SAMN11945441
Enterococcus faecalis,1351.3485,SAMN11945440
Enterococcus faecalis,1351.3484,SAMN11945442
Enterococcus faecalis,1351.3483,SAMN11945443
Enterococcus faecium,1352.9140,SAMN11945446
Enterococcus faecium,1352.9141,SAMN11945445
Enterococcus hirae,1354.242,SAMN11945448
Enterococcus hirae,1354.241,SAMN11945449
Enterococcus hirae,1354.240,SAMN11945450
Enterococcus hirae,1354.239,SAMN11945451
Enterococcus hirae,1354.238,SAMN11945452
Enterococcus hirae,1354.237,SAMN11945454
Enterococcus hirae,1354.235,SAMN11945453
Enterococcus hirae,1354.236,SAMN11945457
Enterococcus hirae,1354.234,SAMN11945455
Enterococcus hirae,1354.233,SAMN11945456
Enterococcus hirae,1354.232,SAMN11945460
Enterococcus hirae,1354.231,SAMN11945458
Enterococcus hirae,1354.229,SAMN11945461
Enterococcus hirae,1354.230,SAMN11945462
Enterococcus hirae,1354.228,SAMN11945459
Enterococcus hirae,1354.226,SAMN11945463
Enterococcus hirae,1354.227,SAMN11945464
Enterococcus hirae,1354.225,SAMN11945466
Enterococcus hirae,1354.224,SAMN11945467
Enterococcus hirae,1354.223,SAMN11945465
Enterococcus hirae,1354.221,SAMN11945468
Enterococcus hirae,1354.222,SAMN11945469
Enterococcus hirae,1354.220,SAMN11945530
Enterococcus hirae,1354.218,SAMN11945470
Enterococcus hirae,1354.219,SAMN11945531
Enterococcus hirae,1354.243,SAMN11945447
Enterococcus hirae,1354.244,SAMN11945529
Enterococcus hirae,1354.246,SAMN11945528
Enterococcus hirae,1354.245,SAMN11945526
Enterococcus hirae,1354.217,SAMN11945532
Enterococcus hirae,1354.301,SAMN11945471
Enterococcus hirae,1354.302,SAMN11945472
Enterococcus hirae,1354.300,SAMN11945474
Enterococcus hirae,1354.299,SAMN11945473
Enterococcus hirae,1354.298,SAMN11945475
Enterococcus hirae,1354.297,SAMN11945478
Enterococcus hirae,1354.296,SAMN11945476
Enterococcus hirae,1354.295,SAMN11945477
Enterococcus hirae,1354.292,SAMN11945479
Enterococcus hirae,1354.293,SAMN11945480
Enterococcus hirae,1354.294,SAMN11945481
Enterococcus hirae,1354.291,SAMN11945483
Enterococcus hirae,1354.290,SAMN11945482
Enterococcus hirae,1354.289,SAMN11945484
Enterococcus hirae,1354.288,SAMN11945485
Enterococcus hirae,1354.287,SAMN11945486
Enterococcus hirae,1354.286,SAMN11945487
Enterococcus hirae,1354.285,SAMN11945490
Enterococcus hirae,1354.284,SAMN11945489
Enterococcus hirae,1354.283,SAMN11945491
Enterococcus hirae,1354.282,SAMN11945488
Enterococcus hirae,1354.281,SAMN11945492
Enterococcus hirae,1354.279,SAMN11945494
Enterococcus hirae,1354.280,SAMN11945493
Enterococcus hirae,1354.278,SAMN11945495
Enterococcus hirae,1354.277,SAMN11945496
Enterococcus hirae,1354.276,SAMN11945497
Enterococcus hirae,1354.275,SAMN11945498
Enterococcus hirae,1354.273,SAMN11945499
Enterococcus hirae,1354.272,SAMN11945501
Enterococcus hirae,1354.274,SAMN11945502
Enterococcus hirae,1354.271,SAMN11945500
Enterococcus hirae,1354.270,SAMN11945503
Enterococcus hirae,1354.269,SAMN11945504
Enterococcus hirae,1354.268,SAMN11945505
Enterococcus hirae,1354.267,SAMN11945506
Enterococcus hirae,1354.266,SAMN11945507
Enterococcus hirae,1354.261,SAMN11945509
Enterococcus hirae,1354.265,SAMN11945508
Enterococcus hirae,1354.264,SAMN11945510
Enterococcus hirae,1354.260,SAMN11945512
Enterococcus hirae,1354.259,SAMN11945511
Enterococcus hirae,1354.258,SAMN11945513
Enterococcus hirae,1354.263,SAMN11945516
Enterococcus hirae,1354.257,SAMN11945514
Enterococcus hirae,1354.256,SAMN11945515
Enterococcus hirae,1354.262,SAMN11945517
Enterococcus hirae,1354.255,SAMN11945518
Enterococcus hirae,1354.254,SAMN11945519
Enterococcus hirae,1354.253,SAMN11945520
Enterococcus hirae,1354.252,SAMN11945522
Enterococcus hirae,1354.251,SAMN11945521
Enterococcus hirae,1354.249,SAMN11945524
Enterococcus hirae,1354.250,SAMN11945523
Enterococcus hirae,1354.248,SAMN11945525
Enterococcus hirae,1354.247,SAMN11945527
Enterococcus mundtii,53346.70,SAMN11945533
Enterococcus mundtii,53346.67,SAMN11945535
Enterococcus mundtii,53346.69,SAMN11945536
Enterococcus mundtii,53346.66,SAMN11945537
Enterococcus mundtii,53346.65,SAMN11945538
Enterococcus mundtii,53346.64,SAMN11945541
Enterococcus mundtii,53346.63,SAMN11945539
Enterococcus mundtii,53346.61,SAMN11945540
Enterococcus mundtii,53346.60,SAMN11945542
Enterococcus mundtii,53346.62,SAMN11945543
Enterococcus mundtii,53346.58,SAMN11945545
Enterococcus mundtii,53346.59,SAMN11945544
Enterococcus mundtii,53346.68,SAMN11945534
Enterococcus raffinosus,71452.14,SAMN11945546
Eubacterium ramulus,39490.146,SAMN11946048
Eubacterium ramulus,39490.144,SAMN11946049
Eubacterium ramulus,39490.145,SAMN11946050
Eubacterium sp. BIOML-A1,2584643.3,SAMN11946063
Eubacterium sp. BIOML-A2,2584644.3,SAMN11946064
Faecalibacterium prausnitzii,853.7389,SAMN11946065
Faecalibacterium prausnitzii,853.7362,SAMN11946066
Faecalibacterium prausnitzii,853.7363,SAMN11946068
Faecalibacterium prausnitzii,853.7360,SAMN11946067
Faecalibacterium prausnitzii,853.7359,SAMN11946069
Faecalibacterium prausnitzii,853.7361,SAMN11946071
Faecalibacterium prausnitzii,853.7352,SAMN11946070
Faecalibacterium prausnitzii,853.7351,SAMN11946073
Faecalibacterium prausnitzii,853.7353,SAMN11946072
Faecalibacterium prausnitzii,853.7357,SAMN11946074
Faecalibacterium prausnitzii,853.7355,SAMN11946076
Faecalibacterium prausnitzii,853.7356,SAMN11946075
Faecalibacterium prausnitzii,853.7358,SAMN11946077
Faecalibacterium prausnitzii,853.7354,SAMN11946078
Faecalibacterium prausnitzii,853.7350,SAMN11946081
Faecalibacterium prausnitzii,853.7349,SAMN11946080
Faecalibacterium prausnitzii,853.7348,SAMN11946079
Faecalibacterium prausnitzii,853.7346,SAMN11946082
Faecalibacterium prausnitzii,853.7347,SAMN11946083
Faecalibacterium sp. BIOML-A1,2584645.3,SAMN11946084
Faecalibacterium sp. BIOML-A2,2584646.3,SAMN11946085
Faecalibacterium sp. BIOML-A3,2584647.3,SAMN11946086
Faecalibacterium sp. BIOML-A4,2584648.3,SAMN11946087
Finegoldia magna,1260.145,SAMN11946095
Finegoldia magna,1260.144,SAMN11946096
Finegoldia sp. BIOML-A1,2584649.3,SAMN11946097
Finegoldia sp. BIOML-A2,2584650.3,SAMN11946098
Finegoldia sp. BIOML-A3,2584651.3,SAMN11946099
Finegoldia sp. BIOML-A4,2584652.3,SAMN11946100
Finegoldia sp. BIOML-A5,2584653.3,SAMN11946101
Flavonifractor plautii,292800.502,SAMN11946103
Flavonifractor plautii,292800.500,SAMN11946104
Flavonifractor plautii,292800.501,SAMN11946105
Flavonifractor plautii,292800.504,SAMN11946106
Flavonifractor plautii,292800.503,SAMN11946102
Gordonibacter pamelaeae,471189.25,SAMN11946108
Gordonibacter urolithinfaciens,1335613.28,SAMN11946107
Holdemania massiliensis,1468449.10,SAMN11946110
Holdemania massiliensis,1468449.11,SAMN11946111
Holdemania massiliensis,1468449.12,SAMN11946109
Holdemania massiliensis,1468449.13,SAMN11946113
Holdemania massiliensis,1468449.9,SAMN11946112
Lactobacillus paracasei,1597.463,SAMN11946114
Lactobacillus paracasei,1597.462,SAMN11946115
Lactobacillus paracasei,1597.460,SAMN11946117
Lactobacillus paracasei,1597.461,SAMN11946116
Lactobacillus rhamnosus,47715.652,SAMN11946119
Lactobacillus rhamnosus,47715.653,SAMN11946120
Lactobacillus rhamnosus,47715.651,SAMN11946123
Lactobacillus rhamnosus,47715.647,SAMN11946121
Lactobacillus rhamnosus,47715.655,SAMN11946122
Lactobacillus rhamnosus,47715.648,SAMN11946124
Lactobacillus rhamnosus,47715.646,SAMN11946125
Lactobacillus rhamnosus,47715.649,SAMN11946126
Lactobacillus rhamnosus,47715.650,SAMN11946127
Lactobacillus rhamnosus,47715.654,SAMN11946118
Lactobacillus ruminis,1623.224,SAMN11946140
Lactobacillus ruminis,1623.222,SAMN11946141
Lactobacillus ruminis,1623.223,SAMN11946144
Lactobacillus ruminis,1623.219,SAMN11946143
Lactobacillus ruminis,1623.220,SAMN11946145
Lactobacillus ruminis,1623.218,SAMN11946146
Lactobacillus ruminis,1623.221,SAMN11946149
Lactobacillus ruminis,1623.240,SAMN11946128
Lactobacillus ruminis,1623.238,SAMN11946130
Lactobacillus ruminis,1623.239,SAMN11946131
Lactobacillus ruminis,1623.237,SAMN11946132
Lactobacillus ruminis,1623.236,SAMN11946133
Lactobacillus ruminis,1623.235,SAMN11946135
Lactobacillus ruminis,1623.234,SAMN11946134
Lactobacillus ruminis,1623.233,SAMN11946136
Lactobacillus ruminis,1623.229,SAMN11946138
Lactobacillus ruminis,1623.231,SAMN11946137
Lactobacillus ruminis,1623.230,SAMN11946139
Lactobacillus ruminis,1623.228,SAMN11946148
Lactobacillus ruminis,1623.232,SAMN11946142
Lactobacillus ruminis,1623.226,SAMN11946151
Lactobacillus ruminis,1623.225,SAMN11946152
Lactobacillus ruminis,1623.227,SAMN11946153
Lactobacillus ruminis,1623.216,SAMN11946147
Lactobacillus ruminis,1623.217,SAMN11946154
Lactobacillus ruminis,1623.215,SAMN11946150
Lactobacillus ruminis,1623.213,SAMN11946155
Lactobacillus ruminis,1623.214,SAMN11946156
Lactonifactor sp. BIOML-A1,2584654.3,SAMN11946157
Lactonifactor sp. BIOML-A2,2584655.3,SAMN11946158
Lactonifactor sp. BIOML-A3,2584656.3,SAMN11946159
Lactonifactor sp. BIOML-A4,2584657.4,SAMN11946160
Lactonifactor sp. BIOML-A5,2584658.3,SAMN11946161
Lactonifactor sp. BIOML-A6,2584659.3,SAMN11946162
Lactonifactor sp. BIOML-A7,2584660.3,SAMN11946163
Leuconostoc lactis,1246.49,SAMN11946164
Megasphaera sp. BIOML-A1,2584661.3,SAMN11946165
Megasphaera sp. BIOML-A2,2584662.3,SAMN11946166
Odoribacter splanchnicus,28118.1616,SAMN11946173
Odoribacter splanchnicus,28118.1615,SAMN11946174
Odoribacter splanchnicus,28118.1622,SAMN11946167
Odoribacter splanchnicus,28118.1621,SAMN11946170
Odoribacter splanchnicus,28118.1618,SAMN11946169
Odoribacter splanchnicus,28118.1619,SAMN11946171
Odoribacter splanchnicus,28118.1620,SAMN11946172
Odoribacter splanchnicus,28118.1617,SAMN11946168
Paeniclostridium sordellii,1505.73,SAMN11946176
Paeniclostridium sordellii,1505.74,SAMN11946175
Paeniclostridium sordellii,1505.72,SAMN11946180
Parabacteroides distasonis,823.3215,SAMN11946185
Parabacteroides distasonis,823.3214,SAMN11946188
Parabacteroides distasonis,823.3216,SAMN11946191
Parabacteroides distasonis,823.3212,SAMN11946186
Parabacteroides distasonis,823.3238,SAMN11946190
Parabacteroides distasonis,823.3208,SAMN11946195
Parabacteroides distasonis,823.3207,SAMN11946198
Parabacteroides distasonis,823.3209,SAMN11946197
Parabacteroides distasonis,823.3210,SAMN11946206
Parabacteroides distasonis,823.3203,SAMN11946199
Parabacteroides distasonis,823.3211,SAMN11946205
Parabacteroides distasonis,823.3202,SAMN11946209
Parabacteroides distasonis,823.3205,SAMN11946211
Parabacteroides distasonis,823.3201,SAMN11946224
Parabacteroides distasonis,823.3206,SAMN11946220
Parabacteroides distasonis,823.3204,SAMN11946225
Parabacteroides distasonis,823.3198,SAMN11946193
Parabacteroides distasonis,823.3200,SAMN11946187
Parabacteroides distasonis,823.3199,SAMN11946194
Parabacteroides distasonis,823.3218,SAMN11946203
Parabacteroides distasonis,823.3217,SAMN11946202
Parabacteroides distasonis,823.3236,SAMN11946200
Parabacteroides distasonis,823.3235,SAMN11946192
Parabacteroides distasonis,823.3234,SAMN11946201
Parabacteroides distasonis,823.3232,SAMN11946204
Parabacteroides distasonis,823.3233,SAMN11946208
Parabacteroides distasonis,823.3231,SAMN11946207
Parabacteroides distasonis,823.3230,SAMN11946210
Parabacteroides distasonis,823.3229,SAMN11946212
Parabacteroides distasonis,823.3228,SAMN11946213
Parabacteroides distasonis,823.3227,SAMN11946215
Parabacteroides distasonis,823.3224,SAMN11946216
Parabacteroides distasonis,823.3239,SAMN11946214
Parabacteroides distasonis,823.3225,SAMN11946217
Parabacteroides distasonis,823.3223,SAMN11946218
Parabacteroides distasonis,823.3221,SAMN11946223
Parabacteroides distasonis,823.3219,SAMN11946221
Parabacteroides distasonis,823.3220,SAMN11946219
Parabacteroides distasonis,823.3222,SAMN11946222
Parabacteroides goldsteinii,328812.123,SAMN11946232
Parabacteroides goldsteinii,328812.121,SAMN11946235
Parabacteroides goldsteinii,328812.122,SAMN11946228
Parabacteroides goldsteinii,328812.114,SAMN11946231
Parabacteroides goldsteinii,328812.115,SAMN11946226
Parabacteroides goldsteinii,328812.119,SAMN11946227
Parabacteroides goldsteinii,328812.120,SAMN11946229
Parabacteroides goldsteinii,328812.118,SAMN11946230
Parabacteroides goldsteinii,328812.117,SAMN11946234
Parabacteroides goldsteinii,328812.116,SAMN11946236
Parabacteroides merdae,46503.1847,SAMN11946237
Parabacteroides merdae,46503.1872,SAMN11946238
Parabacteroides merdae,46503.1869,SAMN11946239
Parabacteroides merdae,46503.1873,SAMN11946240
Parabacteroides merdae,46503.1870,SAMN11946241
Parabacteroides merdae,46503.1867,SAMN11946242
Parabacteroides merdae,46503.1868,SAMN11946243
Parabacteroides merdae,46503.1866,SAMN11946245
Parabacteroides merdae,46503.1865,SAMN11946244
Parabacteroides merdae,46503.1864,SAMN11946246
Parabacteroides merdae,46503.1863,SAMN11946247
Parabacteroides merdae,46503.1871,SAMN11946248
Parabacteroides merdae,46503.1861,SAMN11946251
Parabacteroides merdae,46503.1862,SAMN11946252
Parabacteroides merdae,46503.1852,SAMN11946253
Parabacteroides merdae,46503.1854,SAMN11946255
Parabacteroides merdae,46503.1853,SAMN11946254
Parabacteroides merdae,46503.1856,SAMN11946256
Parabacteroides merdae,46503.1858,SAMN11946257
Parabacteroides merdae,46503.1857,SAMN11946258
Parabacteroides merdae,46503.1855,SAMN11946259
Parabacteroides merdae,46503.1859,SAMN11946260
Parabacteroides merdae,46503.1860,SAMN11946261
Parabacteroides merdae,46503.1851,SAMN11946263
Parabacteroides merdae,46503.1850,SAMN11946262
Parabacteroides merdae,46503.1848,SAMN11946265
Parabacteroides merdae,46503.1849,SAMN11946264
Parasutterella excrementihominis,487175.60,SAMN11946267
Parasutterella excrementihominis,487175.61,SAMN11946268
Parasutterella excrementihominis,487175.62,SAMN11946269
Parasutterella excrementihominis,487175.63,SAMN11946270
Parasutterella excrementihominis,487175.55,SAMN11946273
Parasutterella excrementihominis,487175.59,SAMN11946271
Parasutterella excrementihominis,487175.57,SAMN11946274
Parasutterella excrementihominis,487175.56,SAMN11946272
Parasutterella excrementihominis,487175.58,SAMN11946277
Parasutterella excrementihominis,487175.50,SAMN11946275
Parasutterella excrementihominis,487175.49,SAMN11946279
Parasutterella excrementihominis,487175.52,SAMN11946278
Parasutterella excrementihominis,487175.53,SAMN11946276
Parasutterella excrementihominis,487175.54,SAMN11946280
Parasutterella excrementihominis,487175.51,SAMN11946281
Phascolarctobacterium faecium,33025.435,SAMN11946299
Phascolarctobacterium faecium,33025.434,SAMN11946301
Phascolarctobacterium faecium,33025.450,SAMN11946285
Phascolarctobacterium faecium,33025.451,SAMN11946284
Phascolarctobacterium faecium,33025.449,SAMN11946286
Phascolarctobacterium faecium,33025.447,SAMN11946289
Phascolarctobacterium faecium,33025.448,SAMN11946288
Phascolarctobacterium faecium,33025.441,SAMN11946291
Phascolarctobacterium faecium,33025.440,SAMN11946287
Phascolarctobacterium faecium,33025.442,SAMN11946290
Phascolarctobacterium faecium,33025.443,SAMN11946293
Phascolarctobacterium faecium,33025.444,SAMN11946292
Phascolarctobacterium faecium,33025.445,SAMN11946294
Phascolarctobacterium faecium,33025.436,SAMN11946296
Phascolarctobacterium faecium,33025.446,SAMN11946295
Phascolarctobacterium faecium,33025.438,SAMN11946297
Phascolarctobacterium faecium,33025.439,SAMN11946298
Phascolarctobacterium faecium,33025.437,SAMN11946300
Proteus mirabilis,584.1251,SAMN11946306
Proteus mirabilis,584.1252,SAMN11946304
Proteus mirabilis,584.1250,SAMN11946303
Proteus mirabilis,584.1249,SAMN11946305
Pseudoflavonifractor sp. BIOML-A1,2584663.3,SAMN11946307
Pseudoflavonifractor sp. BIOML-A11,2584673.3,SAMN11946317
Pseudoflavonifractor sp. BIOML-A13,2584675.3,SAMN11946319
Pseudoflavonifractor sp. BIOML-A14,2584676.3,SAMN11946320
Pseudoflavonifractor sp. BIOML-A15,2584677.3,SAMN11946321
Pseudoflavonifractor sp. BIOML-A16,2584678.3,SAMN11946322
Pseudoflavonifractor sp. BIOML-A17,2584679.3,SAMN11946323
Pseudoflavonifractor sp. BIOML-A18,2584680.3,SAMN11946324
Pseudoflavonifractor sp. BIOML-A19,2584681.3,SAMN11946325
Pseudoflavonifractor sp. BIOML-A3,2584665.3,SAMN11946309
Pseudoflavonifractor sp. BIOML-A4,2584666.3,SAMN11946310
Pseudoflavonifractor sp. BIOML-A5,2584667.3,SAMN11946311
Pseudoflavonifractor sp. BIOML-A6,2584668.3,SAMN11946312
Pseudoflavonifractor sp. BIOML-A7,2584669.3,SAMN11946313
Pseudoflavonifractor sp. BIOML-A8,2584670.3,SAMN11946314
Pseudoflavonifractor sp. BIOML-A9,2584671.3,SAMN11946315
Roseburia faecis,301302.2226,SAMN11946326
Roseburia faecis,301302.2225,SAMN11946327
Roseburia intestinalis,166486.885,SAMN11946328
Ruminococcus bromii,40518.2572,SAMN11946331
Ruminococcus bromii,40518.2574,SAMN11946329
Ruminococcus bromii,40518.2573,SAMN11946330
Ruminococcus faecis,592978.29,SAMN11946332
Ruthenibacterium lactatiformans,1550024.424,SAMN11946341
Ruthenibacterium lactatiformans,1550024.422,SAMN11946340
Ruthenibacterium lactatiformans,1550024.423,SAMN11946342
Ruthenibacterium lactatiformans,1550024.419,SAMN11946345
Ruthenibacterium lactatiformans,1550024.421,SAMN11946343
Ruthenibacterium lactatiformans,1550024.420,SAMN11946344
Ruthenibacterium lactatiformans,1550024.412,SAMN11946346
Ruthenibacterium lactatiformans,1550024.418,SAMN11946349
Ruthenibacterium lactatiformans,1550024.414,SAMN11946350
Ruthenibacterium lactatiformans,1550024.415,SAMN11946351
Ruthenibacterium lactatiformans,1550024.417,SAMN11946352
Ruthenibacterium lactatiformans,1550024.416,SAMN11946353
Ruthenibacterium lactatiformans,1550024.413,SAMN11946354
Sellimonas intestinalis,1653434.90,SAMN11946355
Streptococcus parasanguinis,1318.797,SAMN11946357
Streptococcus parasanguinis,1318.796,SAMN11946356
Streptococcus parasanguinis,1318.798,SAMN11946358
Streptococcus parasanguinis,1318.787,SAMN11946359
Streptococcus parasanguinis,1318.789,SAMN11946360
Streptococcus parasanguinis,1318.791,SAMN11946361
Streptococcus parasanguinis,1318.788,SAMN11946362
Streptococcus parasanguinis,1318.790,SAMN11946363
Streptococcus parasanguinis,1318.795,SAMN11946364
Streptococcus parasanguinis,1318.794,SAMN11946365
Streptococcus parasanguinis,1318.793,SAMN11946366
Streptococcus parasanguinis,1318.792,SAMN11946367
Streptococcus parasanguinis,1318.785,SAMN11946368
Streptococcus parasanguinis,1318.786,SAMN11946370
Streptococcus parasanguinis,1318.782,SAMN11946369
Streptococcus parasanguinis,1318.781,SAMN11946371
Streptococcus parasanguinis,1318.784,SAMN11946372
Streptococcus parasanguinis,1318.783,SAMN11946373
Streptococcus salivarius,1304.1376,SAMN11946374
Streptococcus salivarius,1304.1378,SAMN11946376
Streptococcus salivarius,1304.1377,SAMN11946375
Streptococcus salivarius,1304.1375,SAMN11946377
Streptococcus salivarius,1304.1374,SAMN11946378
Streptococcus salivarius,1304.1373,SAMN11946380
Streptococcus salivarius,1304.1372,SAMN11946379
Streptococcus salivarius,1304.1367,SAMN11946381
Streptococcus salivarius,1304.1368,SAMN11946382
Streptococcus salivarius,1304.1369,SAMN11946383
Streptococcus salivarius,1304.1370,SAMN11946385
Streptococcus salivarius,1304.1365,SAMN11946386
Streptococcus salivarius,1304.1366,SAMN11946387
Streptococcus salivarius,1304.1371,SAMN11946388
Streptococcus salivarius,1304.1362,SAMN11946389
Streptococcus salivarius,1304.1361,SAMN11946390
Streptococcus salivarius,1304.1363,SAMN11946392
Streptococcus salivarius,1304.1364,SAMN11946391
Streptococcus salivarius,1304.1355,SAMN11946393
Streptococcus salivarius,1304.1354,SAMN11946395
Streptococcus salivarius,1304.1353,SAMN11946394
Streptococcus salivarius,1304.1360,SAMN11946396
Streptococcus salivarius,1304.1359,SAMN11946398
Streptococcus salivarius,1304.1358,SAMN11946397
Streptococcus salivarius,1304.1356,SAMN11946401
Streptococcus salivarius,1304.1357,SAMN11946402
Streptococcus salivarius,1304.1351,SAMN11946399
Streptococcus salivarius,1304.1352,SAMN11946403
Streptococcus salivarius,1304.1350,SAMN11946400
Streptococcus salivarius,1304.1349,SAMN11946406
Streptococcus salivarius,1304.1347,SAMN11946404
Streptococcus salivarius,1304.1346,SAMN11946405
Streptococcus salivarius,1304.1345,SAMN11946407
Streptococcus salivarius,1304.1344,SAMN11946408
Streptococcus salivarius,1304.1348,SAMN11946409
Streptococcus sp. BIOML-A1,2584682.3,SAMN11946410
Veillonella dispar,39778.877,SAMN11946665
Veillonella dispar,39778.876,SAMN11946666
Veillonella dispar,39778.875,SAMN11946667
Veillonella parvula,29466.1005,SAMN11946669
Veillonella parvula,29466.1006,SAMN11946668
[Clostridium] innocuum,1522.119,SAMN11945299
[Clostridium] innocuum,1522.118,SAMN11945303
[Clostridium] innocuum,1522.120,SAMN11945300
[Clostridium] innocuum,1522.116,SAMN11945302
[Clostridium] innocuum,1522.117,SAMN11945307
[Clostridium] innocuum,1522.115,SAMN11945306
[Clostridium] innocuum,1522.114,SAMN11945309
[Clostridium] innocuum,1522.113,SAMN11945308
[Clostridium] innocuum,1522.125,SAMN11945298
[Clostridium] innocuum,1522.124,SAMN11945297
[Clostridium] innocuum,1522.123,SAMN11945304
[Clostridium] innocuum,1522.121,SAMN11945301
[Clostridium] innocuum,1522.122,SAMN11945305
[Eubacterium] eligens,39485.1649,SAMN11946047
[Eubacterium] rectale,39491.2478,SAMN11946052
[Eubacterium] rectale,39491.2483,SAMN11946053
[Eubacterium] rectale,39491.2479,SAMN11946051
[Eubacterium] rectale,39491.2482,SAMN11946054
[Eubacterium] rectale,39491.2484,SAMN11946055
[Eubacterium] rectale,39491.2481,SAMN11946057
[Eubacterium] rectale,39491.2480,SAMN11946056
[Eubacterium] rectale,39491.2476,SAMN11946058
[Eubacterium] rectale,39491.2477,SAMN11946059
[Eubacterium] rectale,39491.2473,SAMN11946060
[Eubacterium] rectale,39491.2474,SAMN11946061
[Eubacterium] rectale,39491.2475,SAMN11946062
[Ruminococcus] torques,33039.1030,SAMN11946333
[Ruminococcus] torques,33039.1025,SAMN11946336
[Ruminococcus] torques,33039.1031,SAMN11946334
[Ruminococcus] torques,33039.1028,SAMN11946337
[Ruminococcus] torques,33039.1027,SAMN11946335
[Ruminococcus] torques,33039.1026,SAMN11946339
